[2026-08-18T18:37:18.400+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-08-18T18:37:18.413+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: update_db.core_table manual__2026-08-18T18:37:02.256514+00:00 [queued]>
[2026-08-18T18:37:18.421+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: update_db.core_table manual__2026-08-18T18:37:02.256514+00:00 [queued]>
[2026-08-18T18:37:18.423+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2026-08-18T18:37:18.435+0000] {taskinstance.py:2889} INFO - Executing <Task(_PythonDecoratedOperator): core_table> on 2026-08-18 18:37:02.256514+00:00
[2026-08-18T18:37:18.441+0000] {standard_task_runner.py:72} INFO - Started process 123 to run task
[2026-08-18T18:37:18.444+0000] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'update_db', 'core_table', 'manual__2026-08-18T18:37:02.256514+00:00', '--job-id', '288', '--raw', '--subdir', 'DAGS_FOLDER/main.py', '--cfg-path', '/tmp/tmped5eqd_s']
[2026-08-18T18:37:18.445+0000] {standard_task_runner.py:105} INFO - Job 288: Subtask core_table
[2026-08-18T18:37:18.503+0000] {task_command.py:467} INFO - Running <TaskInstance: update_db.core_table manual__2026-08-18T18:37:02.256514+00:00 [running]> on host 933b2a0e5d2b
[2026-08-18T18:37:18.568+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='data@engineers.com' AIRFLOW_CTX_DAG_OWNER='rajashrigk' AIRFLOW_CTX_DAG_ID='update_db' AIRFLOW_CTX_TASK_ID='core_table' AIRFLOW_CTX_EXECUTION_DATE='2026-08-18T18:37:02.256514+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-08-18T18:37:02.256514+00:00'
[2026-08-18T18:37:18.574+0000] {taskinstance.py:731} INFO - ::endgroup::
[2026-08-18T18:37:18.583+0000] {base.py:84} INFO - Retrieving connection 'postgres_db_yt_elt'
[2026-08-18T18:37:18.589+0000] {base.py:84} INFO - Retrieving connection 'postgres_db_yt_elt'
[2026-08-18T18:37:18.594+0000] {base.py:84} INFO - Retrieving connection 'postgres_db_yt_elt'
[2026-08-18T18:37:18.655+0000] {data_modification.py:83} INFO - Updated row with Video_ID: 7eW5WJGkt3Q
[2026-08-18T18:37:18.664+0000] {data_modification.py:83} INFO - Updated row with Video_ID: X1Q0ZCcPiC8
[2026-08-18T18:37:18.673+0000] {data_modification.py:83} INFO - Updated row with Video_ID: pQvJquX_YHs
[2026-08-18T18:37:18.686+0000] {data_modification.py:83} INFO - Updated row with Video_ID: H0fxuPaUKQo
[2026-08-18T18:37:18.694+0000] {data_modification.py:83} INFO - Updated row with Video_ID: aaHfX3yivXo
[2026-08-18T18:37:18.703+0000] {data_modification.py:83} INFO - Updated row with Video_ID: KPidb-8iw9I
[2026-08-18T18:37:18.711+0000] {data_modification.py:83} INFO - Updated row with Video_ID: a3UVcK612iU
[2026-08-18T18:37:18.719+0000] {data_modification.py:83} INFO - Updated row with Video_ID: xFzxzmCFmBs
[2026-08-18T18:37:18.728+0000] {data_modification.py:83} INFO - Updated row with Video_ID: TrPEIepZGx8
[2026-08-18T18:37:18.736+0000] {data_modification.py:83} INFO - Updated row with Video_ID: 79kKoUqmdq4
[2026-08-18T18:37:18.743+0000] {data_modification.py:83} INFO - Updated row with Video_ID: 9xHvA0I5ZBI
[2026-08-18T18:37:18.750+0000] {data_modification.py:83} INFO - Updated row with Video_ID: ArsuPyWKl8I
[2026-08-18T18:37:18.775+0000] {data_modification.py:83} INFO - Updated row with Video_ID: 6jBaJkwfL1s
[2026-08-18T18:37:18.792+0000] {data_modification.py:83} INFO - Updated row with Video_ID: xZQHS9NbkxM
[2026-08-18T18:37:18.808+0000] {data_modification.py:83} INFO - Updated row with Video_ID: GnCdluU-EIs
[2026-08-18T18:37:18.815+0000] {data_modification.py:83} INFO - Updated row with Video_ID: FMO-AP3fOh4
[2026-08-18T18:37:18.823+0000] {data_modification.py:83} INFO - Updated row with Video_ID: N_eeQVXZOeo
[2026-08-18T18:37:18.832+0000] {data_modification.py:83} INFO - Updated row with Video_ID: TJ4S7HE1LjQ
[2026-08-18T18:37:18.837+0000] {data_modification.py:83} INFO - Updated row with Video_ID: 27d7htd4RAs
[2026-08-18T18:37:18.843+0000] {data_modification.py:83} INFO - Updated row with Video_ID: 1S73MBFacFE
[2026-08-18T18:37:18.848+0000] {data_modification.py:83} INFO - Updated row with Video_ID: gOEI6ZvZhQc
[2026-08-18T18:37:18.852+0000] {data_modification.py:83} INFO - Updated row with Video_ID: 7C8vFzRv8dg
[2026-08-18T18:37:18.857+0000] {data_modification.py:83} INFO - Updated row with Video_ID: GxMxcYiXCgM
[2026-08-18T18:37:18.862+0000] {data_modification.py:83} INFO - Updated row with Video_ID: o-h3STaeFro
[2026-08-18T18:37:18.866+0000] {data_modification.py:83} INFO - Updated row with Video_ID: isNPa_fKPck
[2026-08-18T18:37:18.871+0000] {data_modification.py:83} INFO - Updated row with Video_ID: 9g_O05YEKQs
[2026-08-18T18:37:18.875+0000] {data_modification.py:83} INFO - Updated row with Video_ID: Zcpj0wGEEeY
[2026-08-18T18:37:18.880+0000] {data_modification.py:83} INFO - Updated row with Video_ID: 0TBjnUfulGw
[2026-08-18T18:37:18.886+0000] {data_modification.py:83} INFO - Updated row with Video_ID: 31brY-l0AyI
[2026-08-18T18:37:18.891+0000] {data_modification.py:83} INFO - Updated row with Video_ID: E-F5XJ2jJ1k
